-1.18094 -1.18094 -1.18367 -1.18856 -1.19456 -1.20031 -1.20445 -1.20596 -1.20445 -1.20031 -1.19456 -1.18856 -1.18367 -1.18094 -1.18094 
-1.2957 -1.2957 -1.30018 -1.30825 -1.31823 -1.32788 -1.33489 -1.33746 -1.33489 -1.32788 -1.31823 -1.30825 -1.30018 -1.2957 -1.2957 
-1.42754 -1.42754 -1.43488 -1.4482 -1.46487 -1.48125 -1.49332 -1.49779 -1.49332 -1.48125 -1.46487 -1.4482 -1.43488 -1.42754 -1.42754 
-1.57515 -1.57515 -1.58711 -1.60907 -1.63708 -1.66523 -1.68649 -1.69449 -1.68649 -1.66523 -1.63708 -1.60907 -1.58711 -1.57515 -1.57515 
-1.73621 -1.73621 -1.75552 -1.7916 -1.83886 -1.88808 -1.92669 -1.94174 -1.92669 -1.88808 -1.83886 -1.7916 -1.75552 -1.73621 -1.73621 
-1.9067 -1.9067 -1.9374 -1.99611 -2.07605 -2.16383 -2.23717 -2.2677 -2.23717 -2.16383 -2.07605 -1.99611 -1.9374 -1.9067 -1.9067 
-2.07982 -2.07982 -2.12736 -2.22118 -2.35605 -2.51611 -2.66415 -2.73436 -2.66415 -2.51611 -2.35605 -2.22118 -2.12736 -2.07982 -2.07982 
-2.24476 -2.24476 -2.31537 -2.46057 -2.68502 -2.98271 -3.30547 -3.50048 -3.30547 -2.98271 -2.68502 -2.46057 -2.31537 -2.24476 -2.24476 
-2.3857 -2.3857 -2.48409 -2.69667 -3.05714 -3.61342 -4.37724 -5.06527 -4.37724 -3.61342 -3.05714 -2.69667 -2.48409 -2.3857 -2.3857 
-2.4826 -2.4826 -2.60706 -2.89022 -3.42371 -4.42058 -6.32156 -9.40074 -6.32156 -4.42058 -3.42371 -2.89022 -2.60706 -2.4826 -2.4826 
-2.51587 -2.51587 -2.65244 -2.97368 -3.63128 -5.12092 -9.413 -26.0714 -9.413 -5.12092 -3.63128 -2.97368 -2.65244 -2.51587 -2.51587 
-2.47605 -2.47605 -2.60051 -2.88367 -3.41717 -4.41404 -6.31501 -9.39419 -6.31501 -4.41404 -3.41717 -2.88367 -2.60051 -2.47605 -2.47605 
-2.37226 -2.37226 -2.47065 -2.68323 -3.0437 -3.59998 -4.3638 -5.05182 -4.3638 -3.59998 -3.0437 -2.68323 -2.47065 -2.37226 -2.37226 
-2.22372 -2.22372 -2.29433 -2.43953 -2.66399 -2.96168 -3.28443 -3.47944 -3.28443 -2.96168 -2.66399 -2.43953 -2.29433 -2.22372 -2.22372 
-2.05011 -2.05011 -2.09765 -2.19147 -2.32633 -2.4864 -2.63444 -2.70465 -2.63444 -2.4864 -2.32633 -2.19147 -2.09765 -2.05011 -2.05011 
-1.86682 -1.86682 -1.89752 -1.95623 -2.03617 -2.12395 -2.1973 -2.22782 -2.1973 -2.12395 -2.03617 -1.95623 -1.89752 -1.86682 -1.86682 
-1.68422 -1.68422 -1.70354 -1.73962 -1.78687 -1.83609 -1.87471 -1.88975 -1.87471 -1.83609 -1.78687 -1.73962 -1.70354 -1.68422 -1.68422 
-1.5086 -1.5086 -1.52056 -1.54253 -1.57053 -1.59869 -1.61994 -1.62795 -1.61994 -1.59869 -1.57053 -1.54253 -1.52056 -1.5086 -1.5086 
-1.34341 -1.34341 -1.35075 -1.36407 -1.38074 -1.39711 -1.40919 -1.41366 -1.40919 -1.39711 -1.38074 -1.36407 -1.35075 -1.34341 -1.34341 
-1.19031 -1.19031 -1.19479 -1.20286 -1.21283 -1.22248 -1.2295 -1.23207 -1.2295 -1.22248 -1.21283 -1.20286 -1.19479 -1.19031 -1.19031 
-1.04986 -1.04986 -1.0526 -1.05749 -1.06349 -1.06924 -1.07338 -1.07489 -1.07338 -1.06924 -1.06349 -1.05749 -1.0526 -1.04986 -1.04986 
-0.922038 -0.922038 -0.923705 -0.926679 -0.930303 -0.933755 -0.936228 -0.937125 -0.936228 -0.933755 -0.930303 -0.926679 -0.923705 -0.922038 -0.922038 
-0.806428 -0.806428 -0.807446 -0.809257 -0.811457 -0.813544 -0.815033 -0.815573 -0.815033 -0.813544 -0.811457 -0.809257 -0.807446 -0.806428 -0.806428 
-0.70244 -0.70244 -0.703063 -0.704169 -0.70551 -0.706778 -0.707681 -0.708007 -0.707681 -0.706778 -0.70551 -0.704169 -0.703063 -0.70244 -0.70244 
-0.609378 -0.609378 -0.60976 -0.610437 -0.611256 -0.61203 -0.61258 -0.612779 -0.61258 -0.61203 -0.611256 -0.610437 -0.60976 -0.609378 -0.609378 
-0.526492 -0.526492 -0.526726 -0.527142 -0.527644 -0.528118 -0.528455 -0.528576 -0.528455 -0.528118 -0.527644 -0.527142 -0.526726 -0.526492 -0.526492 
-0.453015 -0.453015 -0.453159 -0.453415 -0.453723 -0.454015 -0.454221 -0.454296 -0.454221 -0.454015 -0.453723 -0.453415 -0.453159 -0.453015 -0.453015 
-0.388181 -0.388181 -0.38827 -0.388427 -0.388617 -0.388796 -0.388923 -0.388969 -0.388923 -0.388796 -0.388617 -0.388427 -0.38827 -0.388181 -0.388181 
-0.331237 -0.331237 -0.331292 -0.331389 -0.331506 -0.331617 -0.331695 -0.331723 -0.331695 -0.331617 -0.331506 -0.331389 -0.331292 -0.331237 -0.331237 
-0.281455 -0.281455 -0.281489 -0.281549 -0.281621 -0.28169 -0.281738 -0.281755 -0.281738 -0.28169 -0.281621 -0.281549 -0.281489 -0.281455 -0.281455 
-0.238137 -0.238137 -0.238158 -0.238195 -0.23824 -0.238282 -0.238312 -0.238323 -0.238312 -0.238282 -0.23824 -0.238195 -0.238158 -0.238137 -0.238137 
-0.20062 -0.20062 -0.200633 -0.200656 -0.200684 -0.20071 -0.200729 -0.200736 -0.200729 -0.20071 -0.200684 -0.200656 -0.200633 -0.20062 -0.20062 
-0.168281 -0.168281 -0.168289 -0.168304 -0.168321 -0.168337 -0.168349 -0.168353 -0.168349 -0.168337 -0.168321 -0.168304 -0.168289 -0.168281 -0.168281 
-0.140538 -0.140538 -0.140543 -0.140552 -0.140562 -0.140572 -0.140579 -0.140582 -0.140579 -0.140572 -0.140562 -0.140552 -0.140543 -0.140538 -0.140538 
-0.11685 -0.11685 -0.116853 -0.116859 -0.116866 -0.116872 -0.116876 -0.116878 -0.116876 -0.116872 -0.116866 -0.116859 -0.116853 -0.11685 -0.11685 
-0.0967233 -0.0967233 -0.0967252 -0.0967286 -0.0967328 -0.0967366 -0.0967394 -0.0967403 -0.0967394 -0.0967366 -0.0967328 -0.0967286 -0.0967252 -0.0967233 -0.0967233 
-0.0797043 -0.0797043 -0.0797054 -0.0797076 -0.0797101 -0.0797125 -0.0797142 -0.0797149 -0.0797142 -0.0797125 -0.0797101 -0.0797076 -0.0797054 -0.0797043 -0.0797043 
-0.0653832 -0.0653832 -0.065384 -0.0653853 -0.0653869 -0.0653884 -0.0653895 -0.0653898 -0.0653895 -0.0653884 -0.0653869 -0.0653853 -0.065384 -0.0653832 -0.0653832 
-0.0533915 -0.0533915 -0.053392 -0.0533928 -0.0533938 -0.0533947 -0.0533953 -0.0533956 -0.0533953 -0.0533947 -0.0533938 -0.0533928 -0.053392 -0.0533915 -0.0533915 
-0.0433995 -0.0433995 -0.0433998 -0.0434003 -0.043401 -0.0434015 -0.0434019 -0.0434021 -0.0434019 -0.0434015 -0.043401 -0.0434003 -0.0433998 -0.0433995 -0.0433995 
-0.035115 -0.035115 -0.0351151 -0.0351155 -0.0351158 -0.0351162 -0.0351164 -0.0351166 -0.0351164 -0.0351162 -0.0351158 -0.0351155 -0.0351151 -0.035115 -0.035115 
-0.0282801 -0.0282801 -0.0282802 -0.0282804 -0.0282807 -0.0282809 -0.0282811 -0.0282811 -0.0282811 -0.0282809 -0.0282807 -0.0282804 -0.0282802 -0.0282801 -0.0282801 
-0.0226694 -0.0226694 -0.0226695 -0.0226696 -0.0226697 -0.0226699 -0.02267 -0.02267 -0.02267 -0.0226699 -0.0226697 -0.0226696 -0.0226695 -0.0226694 -0.0226694 
-0.0180866 -0.0180866 -0.0180867 -0.0180867 -0.0180868 -0.0180869 -0.018087 -0.018087 -0.018087 -0.0180869 -0.0180868 -0.0180867 -0.0180867 -0.0180866 -0.0180866 
-0.0143622 -0.0143622 -0.0143622 -0.0143623 -0.0143623 -0.0143624 -0.0143624 -0.0143625 -0.0143624 -0.0143624 -0.0143623 -0.0143623 -0.0143622 -0.0143622 -0.0143622 
-0.0113507 -0.0113507 -0.0113507 -0.0113507 -0.0113508 -0.0113508 -0.0113508 -0.0113508 -0.0113508 -0.0113508 -0.0113508 -0.0113507 -0.0113507 -0.0113507 -0.0113507 
-0.00892789 -0.00892789 -0.0089279 -0.00892792 -0.00892794 -0.00892797 -0.00892797 -0.00892799 -0.00892797 -0.00892797 -0.00892794 -0.00892792 -0.0089279 -0.00892789 -0.00892789 
-0.00698863 -0.00698863 -0.00698864 -0.00698864 -0.00698866 -0.00698867 -0.00698868 -0.00698868 -0.00698868 -0.00698867 -0.00698866 -0.00698864 -0.00698864 -0.00698863 -0.00698863 
-0.00544429 -0.00544429 -0.0054443 -0.00544431 -0.00544431 -0.00544432 -0.00544432 -0.00544433 -0.00544432 -0.00544432 -0.00544431 -0.00544431 -0.0054443 -0.00544429 -0.00544429 
-0.00422074 -0.00422074 -0.00422074 -0.00422074 -0.00422075 -0.00422075 -0.00422076 -0.00422076 -0.00422076 -0.00422075 -0.00422075 -0.00422074 -0.00422074 -0.00422074 -0.00422074 
